gene;DE_log2_FC;std.error;t.value;p.value;adj.p.value;gene_id
A1BG;0.394082258523277;0.15593174109685;2.52727415054329;0.0155388428341928;0.0336842012405728;1
A1BG-AS1;-0.0537944096828575;0.196272161144671;-0.274080691673875;0.785429254091364;0.836482099947362;503538
A2M-AS1;0.15894136919756;0.183335389756777;0.866943198519503;0.391130125103187;0.485167409449638;144571
A4GALT;0.846013180535638;0.155535922240276;5.4393426827064;2.87265485317004e-06;2.44065658258502e-05;53947
AAAS;-0.121765137703542;0.0988359266463258;-1.23199267549002;0.22512567952428;0.309680117059375;8086
AACS;0.400490826345134;0.0815998011715883;4.90798777196749;1.57770523010605e-05;0.0001024777686312;65985
AADAC;-0.437896465822956;0.31324576829396;-1.39793258248271;0.169816928830365;0.245039583803894;13
AADAT;-0.418052101558376;0.142069346034746;-2.94259186254108;0.0053873288927325;0.0139033484052306;51166
AAGAB;0.239965106715823;0.0554514349428802;4.32748236295432;9.75408412363746e-05;0.0004761315640012;79719
AAMDC;-0.743011959094872;0.0951809699612534;-7.80630791425366;1.4233555180381801e-09;4.82266340229408e-08;28971
AAMP;0.0778179960249159;0.068368362916832;1.13821646014223;0.261783396330534;0.350240037789842;14
AAR2;-0.0138484317709671;0.0687713617705659;-0.201369166095156;0.841427691567057;0.8806324341073;25980
AARD;-1.41170554912415;0.328778065849565;-4.29379479886013;0.0001082233286469;0.0005197813711784;441376
AARS1;0.58476367849067;0.0794725892637592;7.35805494583693;5.88322094644093e-09;1.52058633692627e-07;16
AARS2;-0.120416669458522;0.0855927801259168;-1.40685545301105;0.167171966956067;0.24200246684027;57505
AARSD1;0.0757242114402793;0.0806061332282989;0.939434859451791;0.353130855413438;0.447391550361974;80755
AASDH;-0.133657466680608;0.0892057864708694;-1.49830489667007;0.14188376004763;0.212194109982212;132949
AASDHPPT;0.224839988225255;0.0666916817887896;3.37133480809969;0.0016657931172449;0.0051645350624619;60496
AASS;-0.27532133836191;0.14827961175112;-1.85677137342403;0.0706987468482284;0.119115035163118;10157
AATBC;-0.300352031864077;0.177801814487809;-1.68925178142471;0.0989315282399055;0.157742727380445;284837
AATF;0.240871781126442;0.0754647951790782;3.19184303826509;0.0027474428910269;0.0078467786340504;26574
AATK;-1.74169813446383;0.188055662571941;-9.26160962474365;1.6382056023243598e-11;1.49271073188064e-09;9625
ABALON;0.759234237900557;0.16057889911801;4.72810713033096;2.78975576191885e-05;0.0001667031527537;103021294
ABAT;0.33036465850277;0.120554417895909;2.74037786643387;0.0091176516012188;0.0216440219347155;18
ABCA1;-0.0174304244022843;0.161122150807296;-0.108181428282516;0.914391152150263;0.936812381011272;19
ABCA10;-1.56104795191452;0.249693214859516;-6.25186372322053;2.0687461314205e-07;2.70598034124492e-06;10349
ABCA11P;-0.550529164491231;0.124478437991105;-4.42268695989399;7.26285576730769e-05;0.0003725678683687;79963
ABCA13;2.08188009611546;0.526409199753545;3.95487027409504;0.0003036273052971;0.0012453579851327;154664
ABCA2;0.103541565062014;0.100085616867563;1.03452991850991;0.307085967363764;0.398820403870531;20
ABCA3;-0.665798583996394;0.279957219082512;-2.37821545084059;0.0222485913773106;0.0452433844071701;21
ABCA5;-0.285858974896967;0.161455395598282;-1.77051360741275;0.0842419700968163;0.137906465054959;23461
ABCA6;-0.413316503478494;0.169569011269451;-2.4374530486689;0.0193184250569571;0.0403114968713423;23460
ABCA7;0.121695059282276;0.164024278319242;0.741933209700943;0.462450499027271;0.555395163326519;10347
ABCA8;-0.441730726474869;0.174805886158382;-2.52697855994759;0.0155500885069219;0.0337040488428486;10351
ABCA9;-1.13597596852109;0.188495997392111;-6.02652567819793;4.29466453197993e-07;4.9758871818802e-06;10350
ABCB1;0.0864882629710474;0.284427122059944;0.304078817605937;0.762639852591005;0.81770080724556;5243
ABCB10;-0.158613363088134;0.0766986098364665;-2.06800831757346;0.0451303714011634;0.0820034508740382;23456
ABCB4;0.442461425599271;0.137519455999005;3.21744601434777;0.0025601208411297;0.0073876594964645;5244
ABCB6;0.740309959431516;0.121509953344924;6.09258697787527;3.46670116225598e-07;4.16624115833565e-06;10058
ABCB7;-0.0623024329911038;0.0564665444407378;-1.10335126061222;0.2764506653986;0.366305450690315;22
ABCB8;0.0523058066147532;0.083602044841507;0.62565223989335;0.535087132886541;0.623051424387708;11194
ABCB9;0.552833851430578;0.110942920792245;4.98304756610681;1.24229172479173e-05;8.37262053382411e-05;23457
ABCC1;0.182588934065848;0.0604767546655771;3.01915893264319;0.0043929302131316;0.0117028705776986;4363
ABCC10;0.0528250661158161;0.0971308868433105;0.543854461053489;0.589552131007058;0.671485097450683;89845
ABCC3;0.854732614843435;0.184500005065195;4.63269697223806;3.7676945851085e-05;0.0002138120276869;8714
ABCC4;0.166405100605558;0.110678089045086;1.50350536444275;0.140542592816391;0.210520194756455;10257
ABCC5;0.26107708787438;0.157135846378467;1.66147377502627;0.10441624415688;0.165003447556551;10057
